ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-01,39298.974721975,8591.18726180964,25576.597927856943,39298.974721975,39298.974721975,-22342.884298474124,-22342.884298474124,-22342.884298474124,-22342.884298474124,-22342.884298474124,-22342.884298474124,0.0,0.0,0.0,16956.090423500875
2014-02-01,39671.75810683928,-5183.2036049674825,12158.861601066033,39671.75810683928,39671.75810683928,-35937.12784562425,-35937.12784562425,-35937.12784562425,-35937.12784562425,-35937.12784562425,-35937.12784562425,0.0,0.0,0.0,3734.630261215032
2014-03-01,40008.46567985072,33778.45205642656,51078.7439064712,40008.46567985072,40008.46567985072,2549.27153402481,2549.27153402481,2549.27153402481,2549.27153402481,2549.27153402481,2549.27153402481,0.0,0.0,0.0,42557.73721387553
2014-04-01,40381.24906425624,17376.585294869394,35161.115161893424,40381.24906425624,40381.24906425624,-13941.988333250472,-13941.988333250472,-13941.988333250472,-13941.988333250472,-13941.988333250472,-13941.988333250472,0.0,0.0,0.0,26439.26073100577
2014-05-01,40742.00717796095,17566.98318873392,35716.355137791135,40742.00717796095,40742.00717796095,-14098.924521008801,-14098.924521008801,-14098.924521008801,-14098.924521008801,-14098.924521008801,-14098.924521008801,0.0,0.0,0.0,26643.08265695215
2014-06-01,41114.790561361304,19788.72996613353,36404.28820136641,41114.790561361304,41114.790561361304,-13342.187322901542,-13342.187322901542,-13342.187322901542,-13342.187322901542,-13342.187322901542,-13342.187322901542,0.0,0.0,0.0,27772.603238459764
2014-07-01,41475.54867432938,18998.787576851246,36172.78209912852,41475.54867432938,41475.54867432938,-13928.402137477655,-13928.402137477655,-13928.402137477655,-13928.402137477655,-13928.402137477655,-13928.402137477655,0.0,0.0,0.0,27547.146536851724
2014-08-01,41848.33205859448,23058.45301635236,40252.467660764036,41848.33205859448,41848.33205859448,-9981.639410521917,-9981.639410521917,-9981.639410521917,-9981.639410521917,-9981.639410521917,-9981.639410521917,0.0,0.0,0.0,31866.692648072567
2014-09-01,42221.115444002084,59179.03821204945,77491.7697234005,42221.115444002084,42221.115444002084,26240.860845516385,26240.860845516385,26240.860845516385,26240.860845516385,26240.860845516385,26240.860845516385,0.0,0.0,0.0,68461.97628951847
2014-10-01,42581.87355891267,27674.072812560902,45608.11783080881,42581.87355891267,42581.87355891267,-5913.076317943699,-5913.076317943699,-5913.076317943699,-5913.076317943699,-5913.076317943699,-5913.076317943699,0.0,0.0,0.0,36668.797240968976
